customfield_10707                    Employee Name
customfield_11420                   Awaiting Invoice
customfield_13780                   Awaiting Sales Date
customfield_11421                   Awaiting Sales Input
customfield_11958                   Backlog Created Date
customfield_10577                   Backout plan
customfield_10721                   Band
customfield_13560                   Bank - Details	
customfield_13872                   Bank Account Number
customfield_13563                   Bank Branch
customfield_12564                   Bank Name
customfield_11927                   Bank Rate (Selling)
customfield_10364                   BANT
customfield_10720                   Base Location
customfield_14516                   Base Rate
customfield_10459                   Baseline end date
customfield_10458                   Baseline start date
customfield_11101                   BD funnel Updated date
customfield_11170                   Begin Date
customfield_10259                   Best Suited for
customfield_10781                   Billable
customfield_13544                   Billing Address
customfield_10606                   Billing Cycle
customfield_11055                   Billing Entity
customfield_11415                   Billing Frequency
customfield_10942                   Billing Rate
customfield_11729                   Billing Type
customfield_10676                   Blood Group
customfield_13514                   Board Approver
customfield_13509                   Board Resolution Date
customfield_11501                   BR Drill Down Details
customfield_11496                   BR ID
customfield_10346                   Branding
customfield_11087                   Budget
customfield_13820                   Budget Range / Indicative Value
customfield_13824                   Budgetary Indication
customfield_10334                   Bug Category
customfield_10234                   Build Number
customfield_11500                   Business Impact
customfield_13135                   Business Solutioning Actual End Date
customfield_13134                   Business Solutioning Actual Start Date
customfield_13136                   Business Solutioning Approved By
customfield_13133                   Business Solutioning End Date
customfield_13132                   Business Solutioning Start Date
customfield_11053                   Business Type
customfield_10500                   Business Value
customfield_10268                   Buying Decision Makers
customfield_10453                   CAB
customfield_10991                   CAB Discussion
customfield_10904                   Campaign assets
customfield_10347                   Campaign Cost Comments
customfield_10423                   Campaign Design Comments
customfield_10357                   Campaign Duration
customfield_13049                   Campaign Focus
customfield_10902                   Campaign goals
customfield_10375                   Campaign Name
customfield_10409                   Campaign objective
customfield_10417                   Campaign Type
customfield_10900                   Campaign type
customfield_10558                   Category
customfield_10844                   Category
customfield_11045                   Category / Responsibility / Roles
customfield_10920                   Cc
customfield_12421                   CCC
customfield_14640                   CCC Check
customfield_11628                   CCC1
customfield_11630                   CCC2
customfield_14636                   CCC2 DSO
customfield_14410                   CCC2 Milestone %
customfield_14411                   CCC2 Milestone Weighted Average
customfield_11631                   CCC3
customfield_14637                   CCC3 DSO
customfield_14642                   CCC3 Milestone %
customfield_14641                   CCC3 Milestone Wieghted Average
customfield_11632                   CCC4
customfield_14638                   CCC4 DSO
customfield_14645                   CCC4 Milestone %
customfield_14647                   CCC4 Milestone Weighted Average
customfield_11470                   CCC5
customfield_14639                   CCC5 DSO
customfield_14646                   CCC5 Milestone %
customfield_14648                   CCC5 Milestone Weighted Average
customfield_11859                   CCC7
customfield_11201                   Change Approver
customfield_11199                   Change Category
customfield_10009                   Change completion date
customfield_10454                   Change completion date (migrated)
customfield_11066                   Change Implementor
customfield_11200                   Change Initiator
customfield_10451                   Change managers
customfield_10007                   Change reason
customfield_10450                   Change reason (migrated)
customfield_10425                   Change Request
customfield_10916                   Change Request Raised
customfield_10993                   Change Request Type
customfield_10006                   Change risk
customfield_10448                   Change risk (migrated)
customfield_10008                   Change start date
customfield_10452                   Change start date (migrated)
customfield_10005                   Change type
customfield_10446                   Change type (migrated)
customfield_10422                   Channel
customfield_11081                   channel Function
customfield_11082                   Channel Modality
customfield_11070                   City
customfield_16311                   Claim Date
customfield_11417                   Client Acknowledgement Date
customfield_11056                   Client Location
customfield_10229                   Client Name
customfield_11663                   Client Name (WhatsApp)
customfield_10487                   Client Requirement Summary
customfield_13203                   Closed Actual End Date
customfield_13202                   Closed Actual Start Date
customfield_13201                   Closed End Date
customfield_13204                   Closed Stage Approved By
customfield_13200                   Closed Start Date
customfield_12390                   Closing Account Payable
customfield_11928                   Closing Account Receivable
customfield_10939                   Closure Date
customfield_11008                   Cloud Bitbucket Implementation
customfield_11031                   Cloud Bitbucket Plugin Development Knowledge
customfield_11009                   Cloud Bitbucket Support
customfield_11007                   Cloud Confluence Implementation
customfield_11029                   Cloud Confluence Plugin Development Knowledge
customfield_11006                   Cloud Confluence Support
customfield_11025                   Cloud Development Experience
customfield_11003                   Cloud Experience
customfield_11005                   Cloud Jira Implementation
customfield_11004                   Cloud Jira Support
customfield_11026                   Cloud Jira/JSM Plugin Development Knowledge
customfield_10502                   Collections Owner
customfield_10607                   Comment
comment                             Comment
customfield_11272                   Comments
customfield_14687                   Commit To Readiness
customfield_10751                   Committed FTE
customfield_10550                   Company
customfield_11300                   Company Domain
customfield_11299                   Company Legal Name
customfield_11068                   Company Linkedin URL
customfield_10225                   Company Name
customfield_13558                   Company Registration Number
customfield_13778                   Completed Delivery Date
customfield_13972                   Completion Actual End Date
customfield_13163                   Completion Approved by
customfield_13162                   Completion End date
customfield_14004                   Completion Start date
customfield_13515                   Compliance Approver
customfield_10823                   Compliance review scope
components                          Components
customfield_10244                   Components Lead
customfield_10266                   Concept Priority
customfield_10275                   Concept Status
customfield_10260                   Concept Submitted By
customfield_10848                   Confidence
customfield_13819                   Confirmed Amount OR
customfield_12783                   consequence
customfield_10551                   Contact
customfield_14759                   Contact Details
customfield_10704                   Contact Number in case of Emergency
customfield_13547                   Contact Person
customfield_13551                   Contacts Email
customfield_13552                   Contacts Phone
customfield_10637                   Content Approver
customfield_10405                   Content Creation
customfield_10388                   Content Lead
customfield_13313                   Content POC
customfield_10397                   Content Type
customfield_10398                   Content Writer
customfield_10856                   Contract Name
customfield_13569                   Contract Type
customfield_10565                   Contributor
customfield_10218                   Conversion Probability
customfield_10476                   Conversion Rate
customfield_10978                   Cost
customfield_10787                   Cost Allocation
customfield_10615                   Cost Centre
customfield_13059                   Cost of Event / Total Activity Cost
customfield_11529                   Cost Price (Pay to OEM)
customfield_10372                   Cost to Addteq (USD)
customfield_13060                   Cost to Enreap
customfield_10382                   Cost to OEM (USD)
customfield_12622                   Cost(Actual)
customfield_12621                   Cost(Plan)
customfield_10875                   Countersign Status
customfield_15134                   Country
customfield_11502                   CR ID
customfield_10897                   Create Case Study
customfield_10532                   Create Epics
customfield_10987                   Create TechCafe
customfield_10986                   Create Testimonial
created                             Created
customfield_10370                   Creative Brief
creator                             Creator
customfield_10413                   CRM Company Filled(Y/N)
customfield_10353                   CRM Test
customfield_10495                   Cross Sell Participation Level
customfield_13512                   CS Approval Date
customfield_13513                   CS Approver
customfield_12580                   CSAT (Customer Satisfaction)
customfield_12031                   Cumulative Amount
customfield_13377                   Currency Impact
customfield_12585                   Currency Type
customfield_10287                   Current & Expected Development Plan for Q1
customfield_10293                   Current & Expected Development Plan for Q2
customfield_10299                   Current & Expected Development Plan for Q3
customfield_10305                   Current & Expected Development Plan for Q4
customfield_12817                   Current End Date
customfield_13807                   Current Environment
customfield_10269                   Current Owner
customfield_11265                   Customer Budget ($)
customfield_11595                   Customer Due date
customfield_10230                   Customer Email
customfield_11398                   Customer Email ID (CC)
customfield_11397                   Customer Email ID (To)
customfield_10217                   Customer Note
customfield_11440                   Customer Purchase Terms
customfield_11497                   Customer Requirement
customfield_10839                   Customer segments
customfield_10896                   Customer Sign-off
customfield_11503                   Customer Type
customfield_10277                   Customer Value
customfield_10970                   customfield_10246
customfield_10733                   customfield_10493
customfield_10971                   customfield_10493
customfield_12567                   Cutomer approval Attachment
customfield_12584                   Cutomer approval evidence
customfield_12256                   Cycle Time
customfield_10674                   Date of Birth
customfield_10560                   Date Of Joining
customfield_12818                   Date Varience
customfield_14515                   Day
customfield_11016                   DC Bitbucket Implementation
customfield_11032                   DC Bitbucket Plugin Development Knowledge
customfield_11013                   DC Bitbucket Support
customfield_11015                   DC Confluence Implementation
customfield_11030                   DC Confluence Plugin Development Knowledge
customfield_11012                   DC Confluence Support
customfield_11027                   DC Development Experience
customfield_11010                   DC Experience
customfield_11014                   DC Jira Implementation
customfield_11011                   DC Jira Support
customfield_11028                   DC Jira/JSM Plugin Development Knowledge
customfield_10818                   Deal Size ( Licenses)
customfield_10819                   Deal Size ( Total)
customfield_10806                   Deal Size [USD] Services
customfield_10878                   Deal Status
customfield_13346                   Deal Type
customfield_10271                   Decreases Cost
customfield_10598                   Define
customfield_14310                   Delivery Forecast Amount
customfield_14309                   Delivery Forecast Date
customfield_11274                   Delivery progress
customfield_10509                   Delivery Rating
customfield_10940                   Delivery Review Date
customfield_10760                   Delivery SPOC
customfield_11275                   Delivery status
customfield_13787                   Demo Delivered Start Date
customfield_13775                   Demo Delivered Start date
customfield_13786                   Demo Preparation Start Date
customfield_13774                   Demo Preparation start date
customfield_13773                   Demo Request Review start date
customfield_13785                   Demo Request Review Start Date
customfield_10859                   Department
customfield_10713                   Department
customfield_14685                   Department
customfield_10586                   Department
customfield_14376                   Department Concat
customfield_14377                   Department Count
customfield_14757                   Department Details
customfield_10851                   Deployed Offering Code
customfield_10332                   Deployed To
customfield_10494                   Deployment Type
customfield_12030                   Deposit Amount ($)
customfield_11076                   Dept Code
description                         Description
customfield_10796                   Design
customfield_10341                   Design Impact
customfield_10337                   Design Reviewer
customfield_10588                   Designation
customfield_10723                   Designation
customfield_10331                   Designer
customfield_10841                   Designs ready
customfield_13828                   Detailed Question
customfield_10824                   Details
customfield_10280                   Developer
customfield_10000                   Development
customfield_11827                   DF Amount ($)
customfield_12026                   DF Number
customfield_12958                   DF Request Name  
customfield_14795                   DF Validated
customfield_12759                   DG
customfield_10401                   Diff between Expected & Achieved ROI (Lead Value)
customfield_10394                   Diff between Expected & Achieved ROI (NO of Leads)
customfield_10802                   Difference of Days
customfield_10348                   Digital Marketer
customfield_10692                   Diploma Board
customfield_10705                   Diploma Passing Year
customfield_10294                   Director
customfield_14517                   Discount
customfield_16303                   Discount (%)
customfield_16302                   Discount Type
customfield_10343                   DMP
customfield_10355                   DMU
customfield_11062                   Do you want to raise POA License Ticket?
customfield_11063                   Do you want to raise POA Services Ticket?
customfield_11365                   Document Checklist
customfield_10849                   Documents
customfield_12392                   DPO
customfield_14569                   DPO1
customfield_11826                   DR Amount ($)
customfield_12025                   DR Number
customfield_14796                   DR Validated
customfield_12028                   DR/Rebate/DF Amount ($)
customfield_11930                   DSO
customfield_14568                   DSO1
customfield_16304                   DT License Amount
customfield_10643                   Due Date
duedate                             Due date
customfield_10522                   Due date for Q1 Review
customfield_10524                   Due date for Q2 Review
customfield_10525                   Due date for Q3 Review
customfield_10526                   Due date for Q4 Review
customfield_12321                   Earned Amount ($)
customfield_14138                   Earned Amount ($) W1
customfield_14139                   Earned Amount ($) W2
customfield_14140                   Earned Amount ($) W3
customfield_14141                   Earned Amount ($) W4
customfield_14758                   Earned Delivery Date
customfield_12455                   Earned Hours
customfield_10846                   Effort
customfield_10979                   Efforts
customfield_13140                   Elaboration Actual End Date
customfield_13139                   Elaboration Actual Start Date
customfield_13141                   Elaboration Approved By
customfield_13138                   Elaboration End Date
customfield_13137                   Elaboration Start Date
customfield_10251                   Email Address
customfield_11086                   Email ID
customfield_11000                   Email Id Creation Beyond the Threshold
customfield_10999                   Email ID Deleted Beyond the Threshold
customfield_10300                   Employee
customfield_10223                   Employee Accomplishments
customfield_10324                   Employee Feedback
customfield_10306                   Employee Feedback
customfield_10567                   Employee ID
customfield_10614                   Employee Name
customfield_10731                   Employee Number
customfield_11051                   Employee OC
customfield_11048                   Employee Offering Code
customfield_10562                   Employee Rating(2022-2023)
customfield_10563                   Employee Rating(2023-2024)
customfield_10561                   Employee Status
customfield_10718                   Employment Type
customfield_10464                   End date
customfield_11171                   End Date
customfield_11079                   Engagement Model
customfield_13279                   Engagement Point Custodian
customfield_10604                   Engagement Types
customfield_12951                   Enreap Contribution
customfield_10724                   Enreap E-Mail
customfield_13573                   Enreap Email Id
customfield_13574                   Enreap employee Contact details	
customfield_13572                   Enreap Employee Name
customfield_11389                   Enreap Proposed Payment (Trigger Date)
customfield_11437                   Enreap Proposed Payment (Trigger Date) Cycle Month
customfield_11438                   Enreap Proposed Payment (Trigger Date) Cycle No
customfield_13571                   Enreap Spoc Details
customfield_12565                   Entity name (Enreap)
customfield_10330                   Env
environment                         Environment
customfield_11064                   Environment Impacted
customfield_14603                   EP's
customfield_10466                   Epic
customfield_10467                   Epic
customfield_10013                   Epic Color
customfield_10014                   Epic Link
customfield_10011                   Epic Name
customfield_10012                   Epic Status
customfield_10233                   Epic_assignee
customfield_11334                   EPS Raised for Proposal
customfield_10780                   Escalation Priority
customfield_10866                   Escalation RAG
customfield_10804                   Escalation Raised
customfield_10794                   Escalation Resolution Identified
customfield_10768                   Escalation Status 
customfield_10263                   Estimate
customfield_10517                   Estimated Efforts( In Hour )
customfield_10239                   Estimated Revenue
customfield_13818                   Estimated User Count / Scale
customfield_13145                   Estimation Actual End Date
customfield_13144                   Estimation Actual Start Date
customfield_13146                   Estimation Approved By
customfield_13143                   Estimation End Date
customfield_13142                   Estimation Start Date
customfield_10915                   ETA
customfield_10354                   Event Date
customfield_13054                   Event Name
customfield_10369                   Event Organiser
customfield_14532                   Exchange Rate Type
customfield_12758                   Execution Owner
customfield_10381                   Expected Call to Action
customfield_10386                   Expected Campaign Responses
customfield_10377                   Expected CRM contacts
customfield_13815                   Expected Date of Demo
customfield_12763                   Expected KPI Output
customfield_10395                   Expected Leads
customfield_11423                   Expected License Purchase Date
customfield_10359                   Expected Outcome Comments
customfield_10925                   Expected Payment Date
customfield_11367                   Expected PO Closure Date
customfield_10365                   Expected ROI (Lead Value)
customfield_10356                   Expected ROI (No of Leads)
customfield_11597                   Expected UAT Verif Date
customfield_10412                   Expected Visuals
customfield_10612                   Expense Date
customfield_10855                   Experience Band
customfield_10727                   Experience before enreap
customfield_11033                   Experience on Asset management
customfield_11035                   Experience on Roadmaps
customfield_14800                   External issue ID
customfield_10559                   External issue ID
customfield_15101                   External issue ID
customfield_10917                   External issue ID
customfield_14760                   External issue ID
customfield_10660                   Father's Name
customfield_10625                   Feedback from Pre-Sales Team
customfield_10624                   Feedback from Sales Team
customfield_13577                   Finance approver
customfield_11370                   Finance SPOC
customfield_14794                   Finance Validation
customfield_10613                   Financial Year
customfield_10913                   First Name
fixVersions                         Fix versions
customfield_10021                   Flagged
customfield_12393                   Focus Areas
customfield_10236                   Follow up Date
customfield_14207                   Forecasted Amount
customfield_14567                   Forecasted Milestone Date
customfield_14566                   Forecasted Project End Date
customfield_14565                   Forecasted Project Start Date
customfield_14514                   Forex Date
customfield_14721                   Forex Exchange Rate
customfield_11394                   Forex Gain/Loss
customfield_12193                   Forex Mark Up (INR)
customfield_10738                   Form Link
customfield_10906                   Format
customfield_10887                   From
customfield_10872                   From Date
customfield_10736                   FTE
customfield_10237                   Full Name
customfield_10262                   full name (migrated)
customfield_10587                   Functional Manager
customfield_10657                   Functional Manager Approval
customfield_13576                   Functions
customfield_13053                   Funnel Stage
customfield_10505                   Future Business Prospects
customfield_11069                   GCC
customfield_10664                   Gender
customfield_10264                   Generates Revenue
customfield_11134                   Geo
customfield_10279                   Ghost Inspector URL
customfield_12955                   Gifts POC
customfield_10832                   Goal
customfield_10314                   Goal 1 Priority
customfield_10310                   Goal 1 Summary
customfield_10302                   Goal 2 Priority
customfield_10296                   Goal 2 Summary
customfield_10326                   Goal 3 Priority
customfield_10321                   Goal 3 Summary
customfield_10312                   Goal 4 Priority
customfield_10308                   Goal 4 Summary
customfield_10926                   Goal Discussion Date
customfield_10973                   Goals
customfield_10722                   Grades
customfield_10668                   Graduation University
customfield_10698                   Graduation Years
customfield_10404                   Graphics Designer
customfield_11372                   Gross Margin
customfield_11395                   GST Collected
customfield_12915                   GST Liability Amount
customfield_12916                   GST Liability Due Date
customfield_12917                   GST Liability Due Date Cycle Month
customfield_12918                   GST Liability Due Date Cycle No
customfield_16317                   GST Number
customfield_13555                   GST Reg. Number
customfield_13554                   GST Registration
customfield_13556                   GST Returns filing frequency
customfield_13821                   Hours
customfield_10744                   HR
customfield_10658                   HR Approval
customfield_10301                   HR Representative
customfield_11266                   Idea archived
customfield_11267                   Idea archived by
customfield_11268                   Idea archived on
customfield_10847                   Idea short description
customfield_10247                   Ideation Status and Next steps
customfield_13564                   IFSC code
thumbnail                           Images
customfield_10728                   Immediate Manager 
customfield_10656                   Immediate Manager Approval
customfield_10004                   Impact
customfield_10826                   Impact
customfield_10444                   Impact (migrated)
customfield_10838                   Impact score
customfield_10884                   Impact.
customfield_13155                   Implementation Actual End Date
customfield_13154                   Implementation Actual Start Date
customfield_13156                   Implementation Approved By
customfield_13153                   Implementation End Date
customfield_11050                   Implementation Knowledge on PPM Products
customfield_10576                   Implementation plan
customfield_13152                   Implementation Start Date
customfield_15034                   Import Status
customfield_13776                   In Progress Start Date
customfield_13478                   Incentive Before Currency Impact
customfield_13345                   Incentive Metrics
customfield_13410                   Incentive to be given
customfield_11052                   Incident SLA
customfield_14518                   India - INR per USD
customfield_14519                   India -AED per USD
customfield_14520                   India -MYR per USD
customfield_14521                   India -SGD per USD
customfield_14522                   India -USD per USD
customfield_10272                   Info
customfield_13674                   Initiative End Date
customfield_13443                   Initiative Level 
customfield_13740                   Initiative Start Date
customfield_13083                   Initiatives Workflow Status
customfield_10542                   Innovative
customfield_11271                   Insights
customfield_10544                   Invested Efforts(in hrs)
customfield_10445                   Investigation reason
customfield_10581                   Investigation reason
customfield_10870                   Invoice Amount
customfield_11993                   Invoice Amount in local currency (Including Tax)
customfield_11366                   Invoice Amount in local currency (Without Tax)
customfield_11995                   Invoice Amount in USD (Excluding Tax)
customfield_11994                   Invoice Amount in USD (Including Tax)
customfield_10462                   Invoice Amounts
customfield_12555                   Invoice Conversion rate
customfield_12554                   Invoice Currency Type
customfield_10650                   Invoice Date
customfield_12556                   Invoice Forex Mark Up
customfield_10652                   Invoice Number
customfield_10482                   Invoice Type
customfield_10784                   Is Presales Registration Done?
customfield_10545                   Is the "Concept Elaboration" confluence page reviewed & approved?
customfield_10536                   Is the concept worth elaborating?
customfield_10531                   Is the initial estimate captured?
customfield_10534                   Is the qualification provided in confluence reviewed & approved?
customfield_10740                   ISM Self-transition Value
customfield_10616                   ISM Ticket ID
customfield_10992                   ISO Impact
customfield_10994                   ISO RCA
customfield_10017                   Issue color
customfield_16385                   Issue Is From ISM
customfield_10748                   Issue Key Custom Field
issuetype                           Issue Type
customfield_11093                   Jira Link
customfield_11023                   Jira/JSM - Cloud to Server/DC
customfield_11022                   Jira/JSM - Server/DC To Cloud
customfield_11020                   Jira/JSM Automation Knowledge
customfield_11024                   Jira/JSM Cloud to Cloud
customfield_10481                   Job Candidate
customfield_11306                   Job level
customfield_11083                   Job level(Text)
customfield_10708                   Joining Details Approval
customfield_11017                   JSM Experience
customfield_11018                   JSM Support And Implementation
customfield_10710                   Key
issuekey                            Key
customfield_14686                   Key Activities
customfield_10371                   Key Message / Value Proposition
customfield_13082                   KeyResults Workflow Status
customfield_11034                   Knowledge on Asset Management
customfield_11036                   Knowledge on Roadmaps
customfield_11039                   Known Confluence Plugins
customfield_11038                   Known Jira/JSM  Plugins
customfield_13193                   KPI Baselined Actual End Date
customfield_13192                   KPI Baselined Actual Start Date
customfield_13194                   KPI Baselined Approved By
customfield_13191                   KPI Baselined End Date
customfield_13190                   KPI Baselined Start Date
customfield_12519                   KR Level
labels                              Labels
customfield_10873                   Last Date
customfield_10746                   Last Name
lastViewed                          Last Viewed
customfield_10778                   Last Working Date
customfield_10596                   Latest Update
customfield_12194                   Lead Type
customfield_10406                   Lead value
customfield_14208                   Leaders Due date
customfield_14210                   Leaders Probability
customfield_14276                   Leadership
customfield_10396                   Learnings
customfield_13816                   Legacy tool if using
customfield_13806                   Legacy Tools
customfield_13510                   Legal Entity
customfield_10863                   Legal SLA
customfield_10892                   Legal SLA for MSA
customfield_10860                   Legal Team Member
customfield_10428                   License Amount ($)
customfield_16309                   License Amount In Local Currency
customfield_10431                   License Fulfilment SLA
customfield_10352                   License Sales Manager
customfield_10248                   License Sales Owner
customfield_14798                   License Validated
customfield_10876                   License/Services
customfield_10391                   Life cycle stage
customfield_10648                   Line Manager Asset
issuelinks                          Linked Issues
customfield_11273                   Linked items
customfield_10384                   Linked to ApacLead
customfield_11067                   Linkedin URL
customfield_12952                   Location / Venue
customfield_10203                   Locked forms
worklog                             Log Work
customfield_11760                   Lower TDS
customfield_10585                   Major incident
customfield_14527                   Malaysia - INR per MYR
customfield_14526                   Malaysia - MYR per USD
customfield_14528                   Malaysia - USD per USD
customfield_10938                   Management Approval Date
customfield_13511                   Management Approver
customfield_10932                   Manager Approval Date
customfield_13575                   Manager Approver	
customfield_10328                   Manager Assessment
customfield_10329                   Manager Feedback
customfield_10222                   Manager Feedback (Employee Accomplishments)
customfield_10284                   Manager Feedback Goal 1
customfield_10318                   Manager Feedback Goal 2
customfield_10303                   Manager Feedback Goal 3
customfield_10327                   Manager Feedback Goal 4
customfield_10519                   Manager Overall Feedback Goal 1
customfield_10520                   Manager Overall Feedback Goal 2
customfield_10521                   Manager Overall Feedback Goal 3
customfield_10523                   Manager Overall Feedback Goal 4
customfield_10946                   Manager Value Rating
customfield_10325                   Manager's Ranking Q1
customfield_10315                   Manager's Ranking Q2
customfield_10297                   Manager's Ranking Q3
customfield_10322                   Manager's Ranking Q4
customfield_10363                   Maps to Addteq Offering
customfield_10665                   Marital Status
customfield_16351                   Mark for Attention
customfield_11057                   Market Maturity Phase
customfield_16308                   Market Sales Manager
customfield_11332                   Market Sales Owner
customfield_11373                   Market Team
customfield_14243                   Market Team_
customfield_11304                   Market Team.
customfield_11074                   Market type
customfield_11137                   Market Type Parent
customfield_12957                   Marketing Activity End Date 
customfield_12956                   Marketing Activity Start Date 
customfield_10898                   Marketing asset type
customfield_10374                   Marketing Conversion Probability
customfield_10424                   Marketing Manager
customfield_10918                   Marketing Review Date
customfield_10919                   Marketing SPOC
customfield_12255                   Marketing Ticket creation date
customfield_12579                   Markety type
customfield_10276                   Max No. of Customers
customfield_12950                   MDF Amount
customfield_12884                   MDF Claim Date
customfield_13873                   MDF Collection Date
customfield_12886                   MDF-Ticket
customfield_10361                   Medium of Content
customfield_10290                   Meeting Date & Time
customfield_13784                   Meeting Held Start Date
customfield_13782                   Meeting Request Start Date
customfield_13783                   Meeting Scheduled Start Date
customfield_14529                   MENA - AED per USD
customfield_14530                   MENA - USD per USD
customfield_11084                   MicroSegment / Dept
customfield_10745                   Middle Name
customfield_11021                   Migration Experience
customfield_14835                   Milestone
customfield_14684                   Milestone Approver
customfield_10486                   Milestone Check
customfield_13116                   Milestone Due Date
customfield_14445                   Milestone End Date
customfield_14683                   Milestone Owner
customfield_14444                   Milestone Start Date
customfield_10513                   Milestone Summary
customfield_13115                   Milestones
customfield_11080                   Mkt / ISM Link
customfield_10706                   Mobile No
customfield_10267                   Mobile Number
customfield_10791                   Mode of Fulfillment
customfield_11629                   Module
customfield_10761                   Month
customfield_12002                   Monthly License Amount ($)
customfield_13120                   MOS Geo
customfield_13121                   MOS Market Team
customfield_13124                   MOS OEM
customfield_13123                   MOS Opportunity Category
customfield_13122                   MOS Opportunity Type
customfield_13114                   MOS Owner
customfield_13118                   MOS Product
customfield_13119                   MOS Region Code
customfield_13126                   MOS Revenue Stream
customfield_13113                   MOS Scope
customfield_13125                   MOS Specialization
customfield_13559                   MSME Registration Number
customfield_10320                   My Assessment Goal 1
customfield_10311                   My Assessment Goal 2
customfield_10291                   My Assessment Goal 3
customfield_10319                   My Assessment Goal 4
customfield_10983                   Name
customfield_13562                   Name of Bank
customfield_10689                   Name of person in case of emergency
customfield_13056                   Name of Vendor
customfield_10677                   Nationality
customfield_13548                   Nature of Business
customfield_13829                   Nature of Query
customfield_11088                   Need
customfield_10541                   Need for "Retrospection"?
customfield_12651                   Net Revenue
customfield_11393                   Net Revenue in USD
